ticket_id,created_at,channel,product,region,customer_tier,issue_category,ticket_text,response_time_hours,num_previous_tickets,sentiment_score,contains_urgent_words,priority_label
TKT-00029,2024-10-21 06:00:00,chat,ProductB,North,Platinum,returns,"I cannot log into my ProductB account, please help urgently.",0.17,3,0.668,1,Critical
TKT-00030,2024-02-11 09:00:00,call,ProductC,North,Platinum,returns,"I cannot log into my ProductC account, please help urgently.",11.74,3,0.293,1,Critical
TKT-00031,2024-11-02 06:00:00,chat,ProductD,South,Gold,billing,"Please escalate this asap, ProductD is down for our entire team.",10.79,4,-0.261,1,Critical
TKT-00032,2024-02-21 11:00:00,web,ProductB,West,Platinum,technical,My subscription for ProductB is showing incorrect charges.,22.75,4,0.15,0,High
TKT-00033,2024-04-23 12:00:00,email,ProductD,North,Bronze,billing,My subscription for ProductD is showing incorrect charges.,0.88,3,0.178,0,Low
TKT-00034,2024-04-22 09:00:00,chat,ProductD,West,Platinum,returns,I have a billing issue with my recent ProductD order.,1.07,1,0.448,0,Medium
TKT-00035,2024-10-15 18:00:00,web,ProductD,West,Bronze,returns,I have been waiting for a refund on ProductD for over 3 weeks.,11.77,3,-0.021,0,Low
TKT-00036,2024-02-11 14:00:00,web,ProductD,South,Silver,technical,I have a billing issue with my recent ProductD order.,3.94,5,-0.648,0,High
TKT-00037,2024-04-17 11:00:00,call,ProductC,Central,Bronze,billing,"Duplicate charge on my account for ProductC, please fix immediately.",2.8,6,-0.716,1,Critical
TKT-00038,2024-06-09 13:00:00,email,ProductA,Central,Bronze,technical,The shipment for my ProductA has not arrived yet.,6.78,2,-0.447,0,Medium
TKT-00039,2024-01-28 03:00:00,chat,ProductD,Central,Bronze,account,I need to cancel my ProductD subscription and get a refund.,1.95,4,-0.081,0,Low
TKT-00040,2024-08-02 11:00:00,web,ProductA,East,Platinum,general,"Please escalate this asap, ProductA is down for our entire team.",26.36,5,-0.162,1,Critical
TKT-00041,2024-08-03 20:00:00,chat,ProductB,East,Gold,returns,"Please help me reset my password, I cannot access ProductB.",1.86,4,-0.301,1,Critical
TKT-00042,2024-05-25 12:00:00,email,ProductA,North,Bronze,returns,I have an emergency: ProductA integration is failure for all users.,9.55,4,0.285,1,Medium
TKT-00043,2024-07-13 13:00:00,email,ProductC,South,Silver,shipping,Need help setting up ProductC for the first time.,4.45,6,0.387,0,Low
TKT-00044,2024-01-06 08:00:00,web,ProductB,Central,Platinum,account,"Duplicate charge on my account for ProductB, please fix immediately.",16.01,5,0.374,1,High
TKT-00045,2024-04-16 02:00:00,web,ProductC,North,Bronze,technical,"I cannot log into my ProductC account, please help urgently.",0.37,3,-0.026,1,High
TKT-00046,2024-06-29 05:00:00,chat,ProductC,East,Gold,account,"Please escalate this asap, ProductC is down for our entire team.",0.31,0,-0.485,1,Critical
TKT-00047,2024-01-31 02:00:00,email,ProductD,West,Gold,billing,The ProductD application crashed and I lost all my data.,1.36,4,-0.312,1,Critical
TKT-00048,2024-10-18 23:00:00,web,ProductA,South,Gold,technical,"Please help me reset my password, I cannot access ProductA.",0.53,6,0.39,1,Critical
TKT-00049,2024-09-09 01:00:00,chat,ProductA,Central,Bronze,billing,I have a billing issue with my recent ProductA order.,5.78,1,-0.398,0,Medium
TKT-00050,2024-01-28 05:00:00,email,ProductB,East,Platinum,technical,Need help setting up ProductB for the first time.,32.87,3,0.284,0,High
TKT-00051,2024-10-04 10:00:00,chat,ProductC,North,Silver,general,Need help setting up ProductC for the first time.,7.97,6,-0.314,0,Medium
TKT-00052,2024-05-02 10:00:00,chat,ProductB,West,Silver,technical,My ProductB is not working and I need help immediately.,5.44,3,-0.394,1,Critical
TKT-00053,2024-03-14 19:00:00,chat,ProductC,East,Platinum,general,I want to return my ProductC — it arrived broken.,1.03,2,-0.207,1,High
TKT-00054,2024-08-26 16:00:00,chat,ProductD,South,Bronze,returns,"Please help me reset my password, I cannot access ProductD.",5.69,3,0.742,1,Medium
TKT-00055,2024-08-12 02:00:00,email,ProductC,South,Silver,technical,My ProductC stopped working after the latest update.,6.99,3,0.549,0,Medium
TKT-00056,2024-08-14 01:00:00,web,ProductC,Central,Bronze,shipping,My ProductC stopped working after the latest update.,10.28,0,-0.746,0,Medium
TKT-00057,2024-01-27 02:00:00,chat,ProductA,Central,Bronze,shipping,The ProductA application crashed and I lost all my data.,8.57,5,0.191,1,Medium
TKT-00058,2024-12-15 03:00:00,web,ProductA,West,Platinum,shipping,I need to cancel my ProductA subscription and get a refund.,32.49,2,-0.043,0,High
TKT-00059,2024-10-24 16:00:00,chat,ProductA,East,Platinum,account,I have a billing issue with my recent ProductA order.,0.74,2,0.026,0,Medium
TKT-00060,2024-08-02 07:00:00,call,ProductA,North,Silver,shipping,General inquiry about ProductA pricing and features.,16.85,1,-0.38,0,Medium
TKT-00061,2024-10-01 16:00:00,web,ProductA,West,Gold,account,General inquiry about ProductA pricing and features.,20.99,3,0.328,0,Low
TKT-00062,2024-07-24 10:00:00,call,ProductC,West,Silver,technical,I want to return my ProductC — it arrived broken.,13.89,5,0.554,1,High
TKT-00063,2024-08-07 23:00:00,web,ProductD,South,Bronze,shipping,I am getting an error code on ProductD — this is critical for my business.,14.05,2,0.599,1,Medium
TKT-00064,2024-04-25 20:00:00,chat,ProductD,Central,Platinum,returns,The ProductD dashboard is completely blank — outage?,17.51,3,-0.298,1,Critical
TKT-00065,2024-07-30 21:00:00,web,ProductA,North,Gold,account,My subscription for ProductA is showing incorrect charges.,30.08,3,0.046,0,Medium
TKT-00066,2024-11-20 08:00:00,email,ProductB,North,Silver,technical,My subscription for ProductB is showing incorrect charges.,3.98,4,-0.159,0,Medium
TKT-00067,2024-09-29 19:00:00,chat,ProductA,West,Platinum,returns,The ProductA dashboard is completely blank — outage?,7.97,3,-0.415,1,Critical
TKT-00068,2024-05-29 09:00:00,email,ProductB,North,Silver,general,I am getting an error code on ProductB — this is critical for my business.,1.54,2,-0.104,1,Medium
TKT-00069,2024-04-01 00:00:00,chat,ProductB,North,Platinum,billing,"Please help me reset my password, I cannot access ProductB.",0.76,2,0.01,1,Critical
TKT-00070,2024-04-18 15:00:00,call,ProductD,Central,Gold,returns,"Please help me reset my password, I cannot access ProductD.",0.89,7,-0.328,1,Critical
TKT-00071,2024-11-26 19:00:00,chat,ProductD,East,Platinum,shipping,"Duplicate charge on my account for ProductD, please fix immediately.",23.68,2,-1.0,1,Critical
TKT-00072,2024-07-04 11:00:00,email,ProductB,East,Gold,returns,My subscription for ProductB is showing incorrect charges.,6.32,1,0.607,0,Medium
TKT-00073,2024-06-06 20:00:00,email,ProductC,South,Gold,account,There is a technical error when I try to use ProductC.,13.71,5,0.045,1,High
TKT-00074,2024-10-05 06:00:00,chat,ProductD,North,Silver,general,I am getting an error code on ProductD — this is critical for my business.,33.03,0,-0.472,1,Critical
TKT-00075,2024-09-22 21:00:00,email,ProductC,South,Platinum,returns,I am getting an error code on ProductC — this is critical for my business.,49.57,1,-0.069,1,Critical
TKT-00076,2024-09-23 05:00:00,email,ProductA,East,Platinum,returns,I have been waiting for a refund on ProductA for over 3 weeks.,34.84,5,0.343,0,High
TKT-00077,2024-11-27 12:00:00,chat,ProductD,East,Silver,returns,I am getting an error code on ProductD — this is critical for my business.,9.68,2,-0.15,1,High
TKT-00078,2024-03-28 03:00:00,call,ProductA,South,Platinum,shipping,"Please help me reset my password, I cannot access ProductA.",4.36,1,0.339,1,Critical
TKT-00079,2024-04-02 15:00:00,email,ProductA,North,Platinum,account,I am getting an error code on ProductA — this is critical for my business.,3.7,6,0.054,1,High
TKT-00080,2024-05-24 11:00:00,web,ProductD,West,Silver,billing,General inquiry about ProductD pricing and features.,9.5,3,0.744,0,Medium
TKT-00081,2024-06-21 05:00:00,call,ProductD,East,Gold,shipping,I am getting an error code on ProductD — this is critical for my business.,16.64,3,-0.133,1,High
TKT-00082,2024-02-16 20:00:00,email,ProductA,East,Platinum,billing,My subscription for ProductA is showing incorrect charges.,35.04,4,-0.227,0,High
TKT-00083,2024-04-14 00:00:00,chat,ProductA,North,Bronze,technical,I need to cancel my ProductA subscription and get a refund.,14.65,4,-0.098,0,Low
TKT-00084,2024-11-13 11:00:00,email,ProductB,Central,Silver,returns,"Please escalate this asap, ProductB is down for our entire team.",30.8,4,-0.079,1,High
TKT-00085,2024-03-14 19:00:00,email,ProductC,South,Gold,technical,I have been waiting for a refund on ProductC for over 3 weeks.,7.35,6,0.05,0,Medium
TKT-00086,2024-02-21 21:00:00,call,ProductA,West,Gold,account,"Please escalate this asap, ProductA is down for our entire team.",1.44,0,-0.437,1,Critical
TKT-00087,2024-01-29 00:00:00,web,ProductB,Central,Bronze,general,"I cannot log into my ProductB account, please help urgently.",12.18,1,0.19,1,Medium
TKT-00088,2024-08-20 22:00:00,web,ProductC,North,Platinum,general,"Duplicate charge on my account for ProductC, please fix immediately.",0.15,3,0.516,1,High
TKT-00089,2024-11-09 20:00:00,email,ProductA,West,Platinum,returns,Need help setting up ProductA for the first time.,7.22,5,-0.221,0,Medium
TKT-00090,2024-11-26 01:00:00,web,ProductB,Central,Platinum,technical,I have an emergency: ProductB integration is failure for all users.,26.12,4,0.223,1,Critical
TKT-00091,2024-02-29 03:00:00,web,ProductD,East,Platinum,general,My subscription for ProductD is showing incorrect charges.,2.75,1,0.405,0,Medium
TKT-00092,2024-09-15 17:00:00,call,ProductC,Central,Platinum,technical,I need to cancel my ProductC subscription and get a refund.,1.37,1,-0.749,0,Critical
TKT-00093,2024-05-24 19:00:00,web,ProductC,South,Bronze,returns,The ProductC dashboard is completely blank — outage?,4.24,3,-0.596,1,High
TKT-00094,2024-01-07 22:00:00,web,ProductC,Central,Gold,shipping,The ProductC application crashed and I lost all my data.,2.14,0,0.119,1,High
TKT-00095,2024-06-13 01:00:00,call,ProductB,West,Bronze,technical,I have an emergency: ProductB integration is failure for all users.,1.95,1,-0.339,1,Critical
TKT-00096,2024-05-31 06:00:00,email,ProductD,North,Platinum,returns,I have been waiting for a refund on ProductD for over 3 weeks.,6.18,2,-0.457,0,High
TKT-00097,2024-12-28 10:00:00,web,ProductD,West,Silver,shipping,I have an emergency: ProductD integration is failure for all users.,16.06,2,-0.146,1,High
TKT-00098,2024-07-03 22:00:00,web,ProductC,East,Platinum,general,"Please help me reset my password, I cannot access ProductC.",25.37,1,-0.081,1,Critical
TKT-00099,2024-03-22 14:00:00,email,ProductC,South,Gold,technical,General inquiry about ProductC pricing and features.,2.04,2,0.176,0,Medium
TKT-00100,2024-12-24 03:00:00,call,ProductB,East,Silver,technical,Slow performance on ProductB — response time is unacceptable.,9.63,3,0.241,0,Medium
TKT-00101,2024-05-02 11:00:00,web,ProductC,South,Bronze,technical,Need help setting up ProductC for the first time.,22.56,2,0.283,0,Low
TKT-00102,2024-02-07 05:00:00,chat,ProductC,East,Bronze,general,I have a billing issue with my recent ProductC order.,5.93,2,-0.545,0,Low
TKT-00103,2024-07-13 02:00:00,call,ProductC,North,Silver,general,My ProductC is not working and I need help immediately.,3.89,2,-0.184,1,Medium
TKT-00104,2024-06-21 08:00:00,web,ProductD,South,Platinum,returns,I have a billing issue with my recent ProductD order.,22.12,4,-0.122,0,Medium
TKT-00105,2024-02-06 14:00:00,call,ProductD,West,Bronze,billing,The shipment for my ProductD has not arrived yet.,13.68,2,0.968,0,Low
TKT-00106,2024-03-21 20:00:00,web,ProductB,North,Silver,account,My subscription for ProductB is showing incorrect charges.,4.51,5,0.357,0,Low
TKT-00107,2024-07-21 23:00:00,call,ProductD,West,Silver,account,"Please help me reset my password, I cannot access ProductD.",2.06,1,-0.393,1,High
TKT-00108,2024-05-21 20:00:00,email,ProductD,Central,Gold,account,"I cannot log into my ProductD account, please help urgently.",22.71,1,-0.319,1,Critical
TKT-00109,2024-04-28 15:00:00,email,ProductB,South,Gold,general,My subscription for ProductB is showing incorrect charges.,1.19,5,0.022,0,Low
TKT-00110,2024-11-16 19:00:00,call,ProductA,West,Silver,billing,I need to cancel my ProductA subscription and get a refund.,11.05,5,-0.123,0,Medium
TKT-00111,2024-02-18 14:00:00,web,ProductC,East,Bronze,technical,"Please help me reset my password, I cannot access ProductC.",7.08,1,-0.443,1,Critical
TKT-00112,2024-06-02 11:00:00,chat,ProductB,West,Gold,general,"I cannot log into my ProductB account, please help urgently.",9.43,2,-0.912,1,Critical
TKT-00113,2024-07-28 23:00:00,email,ProductB,North,Gold,technical,I want to return my ProductB — it arrived broken.,0.53,1,1.0,1,Critical
TKT-00114,2024-07-04 20:00:00,call,ProductC,East,Platinum,billing,My ProductC stopped working after the latest update.,0.65,4,-0.825,0,Critical
TKT-00115,2024-06-19 22:00:00,email,ProductD,West,Platinum,billing,General inquiry about ProductD pricing and features.,6.38,5,0.138,0,High
TKT-00116,2024-01-28 11:00:00,email,ProductA,East,Bronze,technical,Slow performance on ProductA — response time is unacceptable.,13.13,2,0.549,0,Low
TKT-00117,2024-10-24 13:00:00,call,ProductB,East,Platinum,account,I want to return my ProductB — it arrived broken.,18.44,2,0.12,1,High
TKT-00118,2024-08-07 04:00:00,web,ProductD,West,Bronze,returns,General inquiry about ProductD pricing and features.,1.79,3,0.611,0,Low
TKT-00119,2024-09-30 09:00:00,call,ProductA,West,Silver,shipping,I have been waiting for a refund on ProductA for over 3 weeks.,4.98,4,0.292,0,Low
TKT-00120,2024-03-20 03:00:00,web,ProductA,East,Platinum,billing,General inquiry about ProductA pricing and features.,13.77,3,-0.247,0,High
TKT-00121,2024-05-08 01:00:00,call,ProductD,West,Bronze,general,I have a billing issue with my recent ProductD order.,9.79,3,0.302,0,Low
TKT-00122,2024-07-01 07:00:00,call,ProductC,North,Platinum,general,"Please escalate this asap, ProductC is down for our entire team.",1.5,5,-0.057,1,High
TKT-00123,2024-06-12 08:00:00,call,ProductB,North,Gold,returns,My ProductB is not working and I need help immediately.,13.62,0,-0.591,1,Critical
TKT-00124,2024-03-04 15:00:00,email,ProductB,Central,Gold,account,I am getting an error code on ProductB — this is critical for my business.,8.44,4,-0.468,1,Critical
TKT-00125,2024-07-18 05:00:00,email,ProductB,South,Bronze,returns,The ProductB dashboard is completely blank — outage?,1.62,5,0.479,1,Medium
TKT-00126,2024-04-08 17:00:00,call,ProductC,South,Platinum,returns,"Please help me reset my password, I cannot access ProductC.",2.9,3,-0.3,1,Critical
TKT-00127,2024-10-10 06:00:00,chat,ProductD,North,Silver,account,The ProductD application crashed and I lost all my data.,29.43,2,-0.501,1,Critical
TKT-00128,2024-11-30 06:00:00,web,ProductC,East,Gold,billing,Slow performance on ProductC — response time is unacceptable.,9.45,0,-1.0,0,High
TKT-00129,2024-09-14 12:00:00,call,ProductB,East,Platinum,account,General inquiry about ProductB pricing and features.,25.57,3,0.702,0,Medium
TKT-00130,2024-06-08 10:00:00,chat,ProductD,Central,Gold,technical,My ProductD stopped working after the latest update.,5.52,4,0.166,0,Medium
TKT-00131,2024-04-13 20:00:00,call,ProductD,West,Bronze,shipping,My ProductD stopped working after the latest update.,8.95,1,-0.075,0,Low
TKT-00132,2024-03-09 01:00:00,web,ProductD,North,Bronze,technical,"Please help me reset my password, I cannot access ProductD.",4.08,1,0.392,1,High
TKT-00133,2024-02-21 01:00:00,chat,ProductD,West,Bronze,general,There is a technical error when I try to use ProductD.,7.71,4,-0.555,1,High
TKT-00134,2024-12-30 06:00:00,call,ProductD,North,Gold,shipping,General inquiry about ProductD pricing and features.,2.54,2,-0.845,0,High
TKT-00135,2024-02-16 17:00:00,call,ProductD,Central,Gold,general,I have a billing issue with my recent ProductD order.,24.63,3,-1.0,0,High
TKT-00136,2024-03-09 14:00:00,email,ProductB,West,Gold,technical,"I cannot log into my ProductB account, please help urgently.",10.89,2,-0.124,1,Critical
TKT-00137,2024-08-09 10:00:00,web,ProductD,North,Silver,general,I have a billing issue with my recent ProductD order.,57.68,2,-0.46,0,Medium
TKT-00138,2024-06-15 16:00:00,web,ProductA,West,Gold,shipping,There is a technical error when I try to use ProductA.,13.86,2,-0.174,1,High
TKT-00139,2024-09-18 03:00:00,chat,ProductD,North,Silver,technical,I need to cancel my ProductD subscription and get a refund.,0.68,4,1.0,0,Medium
TKT-00140,2024-06-22 09:00:00,chat,ProductB,South,Platinum,account,"Please help me reset my password, I cannot access ProductB.",8.2,1,-0.598,1,Critical
TKT-00141,2024-04-17 20:00:00,email,ProductD,West,Gold,general,I have been waiting for a refund on ProductD for over 3 weeks.,10.33,1,-0.733,0,Medium
TKT-00142,2024-11-07 20:00:00,web,ProductA,West,Platinum,shipping,The ProductA application crashed and I lost all my data.,1.7,2,-0.45,1,Critical
TKT-00143,2024-09-17 08:00:00,call,ProductC,North,Silver,returns,My subscription for ProductC is showing incorrect charges.,11.14,0,-0.417,0,Medium
TKT-00144,2024-07-06 09:00:00,web,ProductC,North,Gold,general,My ProductC stopped working after the latest update.,1.1,3,-0.428,0,Medium
TKT-00145,2024-08-28 12:00:00,call,ProductA,East,Bronze,account,My subscription for ProductA is showing incorrect charges.,12.81,4,-0.208,0,Low
TKT-00146,2024-01-27 21:00:00,web,ProductB,South,Silver,account,"I cannot log into my ProductB account, please help urgently.",3.47,1,-0.269,1,Medium
TKT-00147,2024-07-20 11:00:00,web,ProductC,South,Platinum,billing,The shipment for my ProductC has not arrived yet.,22.32,3,-0.851,0,Critical
TKT-00148,2024-09-06 18:00:00,chat,ProductC,South,Platinum,technical,I have an emergency: ProductC integration is failure for all users.,8.92,3,0.694,1,Critical
TKT-00149,2024-03-19 14:00:00,call,ProductC,East,Silver,shipping,General inquiry about ProductC pricing and features.,29.65,3,-0.889,0,High
TKT-00150,2024-09-06 16:00:00,chat,ProductD,West,Bronze,technical,I have an emergency: ProductD integration is failure for all users.,22.5,2,-0.345,1,Critical
TKT-00151,2024-11-06 11:00:00,web,ProductA,Central,Platinum,billing,"I cannot log into my ProductA account, please help urgently.",10.04,1,0.039,1,Critical
TKT-00152,2024-06-08 14:00:00,call,ProductC,East,Gold,account,"I cannot log into my ProductC account, please help urgently.",18.01,3,-0.87,1,Critical
TKT-00153,2024-02-13 03:00:00,web,ProductD,Central,Bronze,account,My subscription for ProductD is showing incorrect charges.,3.2,4,-0.012,0,Low
TKT-00154,2024-01-31 22:00:00,call,ProductD,North,Gold,general,There is a technical error when I try to use ProductD.,1.47,5,-0.54,1,Critical
TKT-00155,2024-04-02 14:00:00,email,ProductA,North,Gold,returns,My subscription for ProductA is showing incorrect charges.,4.83,1,-0.171,0,Medium
TKT-00156,2024-10-10 05:00:00,call,ProductD,Central,Platinum,shipping,There is a technical error when I try to use ProductD.,1.82,2,0.263,1,Critical
TKT-00157,2024-09-09 22:00:00,call,ProductA,East,Platinum,account,I have a billing issue with my recent ProductA order.,3.41,3,-0.375,0,High
TKT-00158,2024-09-07 18:00:00,chat,ProductB,East,Platinum,returns,"I cannot log into my ProductB account, please help urgently.",6.46,4,-0.733,1,Critical
TKT-00159,2024-11-06 10:00:00,web,ProductC,South,Bronze,returns,"I cannot log into my ProductC account, please help urgently.",0.53,4,0.173,1,Medium
TKT-00160,2024-06-15 06:00:00,email,ProductA,North,Silver,general,General inquiry about ProductA pricing and features.,0.78,4,-0.784,0,Medium
TKT-00161,2024-06-08 01:00:00,chat,ProductB,Central,Silver,billing,"Please escalate this asap, ProductB is down for our entire team.",11.86,3,0.125,1,High
TKT-00162,2024-03-29 17:00:00,email,ProductC,East,Silver,account,There is a technical error when I try to use ProductC.,24.93,3,0.14,1,High
TKT-00163,2024-09-01 13:00:00,email,ProductC,South,Silver,billing,My ProductC is not working and I need help immediately.,13.18,5,0.379,1,High
TKT-00164,2024-03-27 12:00:00,chat,ProductB,East,Gold,billing,I have a billing issue with my recent ProductB order.,2.5,2,-0.046,0,Medium
TKT-00165,2024-09-04 03:00:00,email,ProductD,West,Bronze,general,"Please help me reset my password, I cannot access ProductD.",1.99,2,0.093,1,Medium
TKT-00166,2024-12-21 23:00:00,chat,ProductA,Central,Platinum,account,I have a billing issue with my recent ProductA order.,11.95,7,-0.007,0,Medium
TKT-00167,2024-10-01 04:00:00,email,ProductC,North,Platinum,general,The ProductC dashboard is completely blank — outage?,1.28,2,-0.732,1,Critical
TKT-00168,2024-08-07 21:00:00,call,ProductD,North,Bronze,returns,The shipment for my ProductD has not arrived yet.,12.9,1,0.125,0,Low
TKT-00169,2024-08-09 23:00:00,web,ProductB,Central,Bronze,technical,Slow performance on ProductB — response time is unacceptable.,3.84,4,0.551,0,Low
TKT-00170,2024-05-26 18:00:00,call,ProductD,North,Gold,returns,"I cannot log into my ProductD account, please help urgently.",20.41,0,-0.012,1,High
TKT-00171,2024-09-29 04:00:00,call,ProductD,East,Platinum,technical,"Please help me reset my password, I cannot access ProductD.",27.98,5,-0.063,1,Critical
TKT-00172,2024-09-12 12:00:00,call,ProductD,East,Bronze,shipping,The ProductD application crashed and I lost all my data.,9.88,6,0.379,1,Medium
TKT-00173,2024-10-21 19:00:00,email,ProductB,North,Platinum,billing,The shipment for my ProductB has not arrived yet.,3.39,2,-0.235,0,High
TKT-00174,2024-08-13 00:00:00,email,ProductA,Central,Gold,technical,I have an emergency: ProductA integration is failure for all users.,0.18,4,-0.462,1,Critical
TKT-00175,2024-08-01 07:00:00,call,ProductA,North,Platinum,shipping,I have been waiting for a refund on ProductA for over 3 weeks.,21.13,3,-0.175,0,Medium
TKT-00176,2024-06-02 02:00:00,chat,ProductC,South,Bronze,account,The ProductC dashboard is completely blank — outage?,47.29,4,-0.472,1,High
TKT-00177,2024-06-03 09:00:00,web,ProductA,North,Gold,account,The ProductA application crashed and I lost all my data.,2.49,3,-0.387,1,Critical
TKT-00178,2024-07-05 13:00:00,web,ProductD,North,Bronze,account,I want to return my ProductD — it arrived broken.,34.77,5,-0.339,1,High
TKT-00179,2024-09-30 14:00:00,email,ProductC,South,Gold,shipping,There is a technical error when I try to use ProductC.,16.92,2,-0.475,1,Critical
TKT-00180,2024-05-26 20:00:00,email,ProductA,North,Silver,general,"Duplicate charge on my account for ProductA, please fix immediately.",8.99,2,0.112,1,Medium
TKT-00181,2024-07-31 17:00:00,web,ProductD,South,Platinum,returns,Need help setting up ProductD for the first time.,21.96,5,-0.376,0,High
TKT-00182,2024-02-03 23:00:00,chat,ProductC,South,Bronze,billing,I need to cancel my ProductC subscription and get a refund.,5.25,3,-0.274,0,Low
TKT-00183,2024-10-28 18:00:00,call,ProductA,West,Gold,returns,I need to cancel my ProductA subscription and get a refund.,19.05,4,-0.333,0,High
TKT-00184,2024-03-16 16:00:00,email,ProductD,East,Gold,technical,I am getting an error code on ProductD — this is critical for my business.,11.33,7,0.001,1,Critical
TKT-00185,2024-09-26 19:00:00,web,ProductC,North,Platinum,account,My subscription for ProductC is showing incorrect charges.,11.4,5,0.126,0,Medium
TKT-00186,2024-06-23 10:00:00,web,ProductA,South,Bronze,technical,There is a technical error when I try to use ProductA.,17.48,1,0.286,1,High
TKT-00187,2024-04-29 22:00:00,email,ProductC,West,Gold,billing,I am getting an error code on ProductC — this is critical for my business.,17.04,2,-0.41,1,Critical
TKT-00188,2024-08-29 18:00:00,chat,ProductB,Central,Platinum,account,I have an emergency: ProductB integration is failure for all users.,3.38,5,0.123,1,High
TKT-00189,2024-11-09 20:00:00,email,ProductA,West,Platinum,general,My ProductA is not working and I need help immediately.,14.31,5,-0.239,1,High
TKT-00190,2024-10-12 03:00:00,call,ProductA,Central,Gold,account,My ProductA stopped working after the latest update.,27.68,1,-0.001,0,Medium
TKT-00191,2024-11-10 02:00:00,email,ProductC,East,Bronze,returns,I want to return my ProductC — it arrived broken.,0.7,3,0.383,1,Medium
